% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 11:34
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9996161829108231+5.102302760957095E-10i
0.021544346900318832                              0.9996161829107999+1.0992578024880184E-9i
0.046415888336127774                              0.9996161829109717+2.3682790993604448E-9i
0.1                                               0.999616182911774+5.102302213634797E-9i
0.21544346900318834                               0.999616182915642+1.0992572548093666E-8i
0.46415888336127775                               0.9996161829331064+2.3682736232460208E-8i
1                                                 0.9996161830145367+5.102247453647679E-8i
2.154434690031882                                 0.9996161833923437+1.09920250578606E-7i
4.6415888336127775                                0.9996161851445556+2.367726640452507E-7i
10                                                0.9996161932486287+5.096801065441032E-7i
21.54434690031882                                 0.9996162302548149+1.093861967963267E-6i
46.41588833612777                                 0.9996163903835187+2.3186756808138337E-6i
100                                               0.9996169742776444+4.734589011434198E-6i
215.44346900318823                                0.9996186246246639+9.122684618514056E-6i
464.1588833612773                                 0.9996227125288968+1.646556082745663E-5i
1000                                              0.9996317290266655+2.7054517041925556E-5i
2154.4346900318824                                0.9996483392382135+3.9007519272455E-5i
4641.588833612773                                 0.9996726766048503+4.819597493134309E-5i
10000                                             0.9997007099096659+5.1531662547763945E-5i
21544.346900318822                                0.9997272143067326+5.031502617587445E-5i
46415.888336127726                                0.9997503780924668+4.929941135867548E-5i
100000                                            0.9997746731245684+5.1999535907880994E-5i
215443.46900318822                                0.9998057587726747+5.0914072402704906E-5i
464158.8833612772                                 0.9998314060939205+3.8055047619999585E-5i
1000000                                           0.9998438701302848+2.5715939200854706E-5i
2154434.6900318777                                0.9998501992239194+2.0944139635458044E-5i
4641588.833612773                                 0.9998573331710948+2.401785205082323E-5i
10000000                                          0.9998728448111264+3.0037975390205708E-5i
2.154434690031878E7                               0.9998934447682033+2.544088196397714E-5i
4.641588833612773E7                               0.9999037573662178+1.3413007781898009E-5i
100000000                                         0.9999057121550456+4.799610834101594E-6i
2.1544346900318778E8                              0.9999046439619221+1.0963043209705959E-7i
4.641588833612773E8                               0.9999024511423625-1.5969802029917785E-6i
1000000000                                        0.9999009316334171-1.3096137852510397E-6i
2.154434690031878E9                               0.999900389916895-7.241283722093624E-7i
4.641588833612773E9                               0.9999002378751037-3.60156566781484E-7i
1.0E10                                            0.9999001968293074-1.731970838239437E-7i
