% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 11:37
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999616182910527+5.102302756510497E-10i
0.021544346900318832                              0.9996161829105807+1.0992578014746818E-9i
0.046415888336127774                              0.9996161829108102+2.3682790973807435E-9i
0.1                                               0.9996161829115546+5.102302208788907E-9i
0.21544346900318834                               0.9996161829153212+1.0992572538209318E-8i
0.46415888336127775                               0.9996161829328504+2.368273621145759E-8i
1                                                 0.9996161830142528+5.102247448966584E-8i
2.154434690031882                                 0.9996161833920373+1.0992025047675506E-7i
4.6415888336127775                                0.999616185144267+2.3677266380198746E-7i
10                                                0.9996161932482943+5.096801060036922E-7i
21.54434690031882                                 0.9996162302541246+1.0938619656252558E-6i
46.41588833612777                                 0.9996163903810529+2.3186756643588393E-6i
100                                               0.9996169742674957+4.734588874511576E-6i
215.44346900318823                                0.9996186245785057+9.122683426796118E-6i
464.1588833612773                                 0.9996227123127922+1.6465550939787836E-5i
1000                                              0.9996317279993042+2.7054442358874756E-5i
2154.4346900318824                                0.9996483342399203+3.900703103030928E-5i
4641.588833612773                                 0.9996726517599199+4.8193402227034805E-5i
10000                                             0.9997005853348789+5.1522508661174134E-5i
21544.346900318822                                0.9997265974253361+5.0319068446683174E-5i
46415.888336127726                                0.9997474700040789+4.9779473281001316E-5i
100000                                            0.9997630230074297+5.75763797956965E-5i
215443.46900318822                                0.9997758664702483+8.56451305413262E-5i
464158.8833612772                                 0.9997954460387372+1.5576931773072386E-4i
1000000                                           0.9998585815883209+3.0306898407767794E-4i
2154434.6900318777                                1.0000803705117833+5.251378214757263E-4i
4641588.833612773                                 1.0005495849891957+5.853526345069971E-4i
10000000                                          1.0009242209801554+2.7719955129510305E-4i
2.154434690031878E7                               1.000961650426352-1.4286995009006058E-4i
4.641588833612773E7                               1.0006820903829972-4.775763660996431E-4i
100000000                                         1.000243124539091-4.984927296675776E-4i
2.1544346900318778E8                              0.9999966052861223-3.039081418261353E-4i
4.641588833612773E8                               0.9999230572422335-1.5173410076638799E-4i
1000000000                                        0.9999053634019462-7.182602651475034E-5i
2.154434690031878E9                               0.9999013450662713-3.35295427191572E-5i
4.641588833612773E9                               0.9999004448646708-1.559523593308238E-5i
1.0E10                                            0.999900241959659-7.2459686966984E-6i
