% Model:              BrushLayer.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 16 2024, 13:16
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9998177053492014+8.597509576561628E-10i
0.021544346900318832                              0.9998177053492472+1.8522772817969746E-9i
0.046415888336127774                              0.9998177053494286+3.990610359489425E-9i
0.1                                               0.9998177053507543+8.59750866536378E-9i
0.21544346900318834                               0.9998177053570866+1.8522763641049358E-8i
0.46415888336127775                               0.9998177053864118+3.9906011783046226E-8i
1                                                 0.9998177055226419+8.597416858638721E-8i
2.154434690031882                                 0.999817706154535+1.8521845756094807E-7i
4.6415888336127775                                0.999817709084723+3.989684143886442E-7i
10                                                0.9998177226368689+8.588285838984934E-7i
21.54434690031882                                 0.9998177845180197+1.843231177149948E-6i
46.41588833612777                                 0.9998180522153324+3.907457535792753E-6i
100                                               0.9998190273692854+7.981354317216714E-6i
215.44346900318823                                0.9998217772090423+1.5394212945071256E-5i
464.1588833612773                                 0.9998285793872554+2.786221885017825E-5i
1000                                              0.999843639790298+4.606934012826484E-5i
2154.4346900318824                                0.9998717630830496+6.716085611993837E-5i
4641.588833612773                                 0.9999140556078349+8.404999421752947E-5i
10000                                             0.9999644665499722+9.003924236461103E-5i
21544.346900318822                                1.0000133303907501+8.463278945533822E-5i
46415.888336127726                                1.000053953565623+7.291561737452343E-5i
100000                                            1.000084552558871+6.122295502712054E-5i
215443.46900318822                                1.0001064409380793+5.52776415776756E-5i
464158.8833612772                                 1.000122681240093+6.165770157347005E-5i
1000000                                           1.0001403160139382+9.114283682918601E-5i
2154434.6900318777                                1.000182900984832+1.5887318462544736E-4i
4641588.833612773                                 1.0003159038162879+2.4666261435753173E-4i
10000000                                          1.0005554603865925+1.9820479586203025E-4i
2.154434690031878E7                               1.0006678003160958-6.874094033707751E-5i
4.641588833612773E7                               1.0004968399556675-3.584526142267236E-4i
100000000                                         1.0001417117811646-4.1712231944995886E-4i
2.1544346900318778E8                              0.999916215476459-2.6720864860021017E-4i
4.641588833612773E8                               0.9998446797922576-1.3576165131740604E-4i
1000000000                                        0.9998269238163036-6.46291234068184E-5i
2.154434690031878E9                               0.9998228457307426-3.02104705621285E-5i
4.641588833612773E9                               0.9998219346235458-1.4054476992378593E-5i
1.0E10                                            0.9998217306970985-6.530139695845618E-6i
