% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 22 2024, 10:37
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              1.000265461441355+1.969633872735441E-9i
0.021544346900318832                              1.0002654614415463+4.243447525771474E-9i
0.046415888336127774                              1.0002654614421496+9.142230391357834E-9i
0.1                                               1.0002654614452924+1.9696336662938377E-8i
0.21544346900318834                               1.000265461459324+4.243445460843054E-8i
0.46415888336127775                               1.000265461524945+9.142209742300463E-8i
1                                                 1.0002654618291351+1.969613017853539E-7i
2.154434690031882                                 1.0002654632409254+4.2432390175804334E-7i
4.6415888336127775                                1.0002654697886517+9.140147229836918E-7i
10                                                1.0002655000708884+1.9675593700409526E-6i
21.54434690031882                                 1.0002656383234165+4.2231028514553706E-6i
46.41588833612777                                 1.0002662360206385+8.955256685196295E-6i
100                                               1.0002684077884976+1.8312221806096087E-5i
215.44346900318823                                1.0002744948730782+3.5430695851873624E-5i
464.1588833612773                                 1.000289479504617+6.4625769793499E-5i
1000                                              1.000322836833111+1.0871634286118406E-4i
2154.4346900318824                                1.0003867790206986+1.6373959655436712E-4i
4641.588833612773                                 1.0004883977195573+2.154176686099148E-4i
10000                                             1.000619794255404+2.4513553464113985E-4i
21544.346900318822                                1.000759345835358+2.4359643590913182E-4i
46415.888336127726                                1.000885324270849+2.1634100667232949E-4i
100000                                            1.0009863390584752+1.7635788722185288E-4i
215443.46900318822                                1.0010611568266967+1.3510140013746956E-4i
464158.8833612772                                 1.001113853107888+9.931337252493319E-5i
1000000                                           1.0011507725921471+7.204129775700415E-5i
2154434.6900318777                                1.0011821917686923+5.3102409629983214E-5i
4641588.833612773                                 1.0012286932283188+2.6997771892691714E-5i
10000000                                          1.0012911019013908-7.433987919234286E-5i
2.154434690031878E7                               1.0012642657071886-3.119895403634772E-4i
4.641588833612773E7                               1.0009966759050717-6.168001720659583E-4i
100000000                                         1.0004685779449418-7.028607670958466E-4i
2.1544346900318778E8                              1.000079050207672-4.6933008119472505E-4i
4.641588833612773E8                               0.9999463749980042-2.410753300333002E-4i
1000000000                                        0.9999137114238683-1.1551548382788143E-4i
2.154434690031878E9                               0.9999055380477225-5.539138630304172E-5i
4.641588833612773E9                               0.9999023209566442-2.6987854540909738E-5i
1.0E10                                            0.999900814580402-1.2959407253850093E-5i
