% Model:              BrushLayer.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jun 14 2024, 10:50
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9991569687482282+2.793686924179583E-9i
0.021544346900318832                              0.9991569687692897+6.0185816618792175E-9i
0.046415888336127774                              0.9991569688657109+1.2964275478544136E-8i
0.1                                               0.9991569693107426+2.790714735970716E-8i
0.21544346900318834                               0.9991569713427233+5.989441159309913E-8i
0.46415888336127775                               0.9991569801427614+1.269682731542379E-7i
1                                                 0.999157012330269+2.5930724626298194E-7i
2.154434690031882                                 0.9991571039534576+4.994143427480929E-7i
4.6415888336127775                                0.9991573319816793+8.98298753208473E-7i
10                                                0.9991578312634353+1.461994350554554E-6i
21.54434690031882                                 0.9991587242046035+2.074923858979062E-6i
46.41588833612777                                 0.9991599599740406+2.54199890801147E-6i
100                                               0.9991612786557017+2.824472063568736E-6i
215.44346900318823                                0.99916242229471+3.2063728166404285E-6i
464.1588833612773                                 0.9991632908878162+4.283793264729027E-6i
1000                                              0.9991639077331277+7.099365770836318E-6i
2154.4346900318824                                0.9991643574593772+1.3696010833604447E-5i
4641.588833612773                                 0.9991648332788274+2.8376236900820183E-5i
10000                                             0.9991660329717175+6.0364835855785885E-5i
21544.346900318822                                0.9991710259224911+1.293549555792419E-4i
46415.888336127726                                0.9991936750913334+2.760205035933359E-4i
100000                                            0.9992935738893223+5.717670326880923E-4i
215443.46900318822                                0.9996717995923198+0.0010477771614395939i
464158.8833612772                                 1.0005550825229874+0.0013378520020976687i
1000000                                           1.0013996803190557+9.997775176693422E-4i
2154434.6900318777                                1.00174068854181+5.305688610282616E-4i
4641588.833612773                                 1.0018299529944408+2.411655868255668E-4i
10000000                                          1.001850224840608+8.106646427822069E-5i
2.154434690031878E7                               1.0018513762038446-3.1865119497773283E-5i
4.641588833612773E7                               1.001835697193472-1.6222405617475117E-4i
100000000                                         1.0017671113081494-3.7499846371879175E-4i
2.1544346900318778E8                              1.0015176451347552-7.022999089083523E-4i
4.641588833612773E8                               1.000925436602287-9.233881539515357E-4i
1000000000                                        1.0003248110693215-7.120037596115934E-4i
2.154434690031878E9                               1.0000734637912037-3.856252518016945E-4i
4.641588833612773E9                               1.0000078770083058-1.856743157694873E-4i
1.0E10                                            0.9999930968618983-8.688231981901108E-5i
