% Model:              BrushLayer.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 3 2024, 17:46
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9999148596736349+3.265322594238358E-8i
0.021544346900318832                              0.9999148599305022+7.034542047766656E-8i
0.046415888336127774                              0.9999148611186879+1.5151859177325087E-7i
0.1                                               0.9999148665957944+3.2608675034964524E-7i
0.21544346900318834                               0.9999148912927628+6.993252847472533E-7i
0.46415888336127775                               0.9999149962535319+1.4805858745779175E-6i
1                                                 0.9999153772192322+3.0199799769855454E-6i
2.154434690031882                                 0.9999164617735284+5.803715502018596E-6i
4.6415888336127775                                0.999919150488602+1.0398333241241265E-5i
10                                                0.9999250289951084+1.6837292251946708E-5i
21.54434690031882                                 0.999935625323873+2.3644164564443723E-5i
46.41588833612777                                 0.9999505490577849+2.8064655477718247E-5i
100                                               0.9999669085031089+2.8424060922323434E-5i
215.44346900318823                                0.999981608863497+2.5578046781760782E-5i
464.1588833612773                                 0.9999932407466156+2.1584744916594045E-5i
1000                                              1.0000017843583684+1.8339662963734967E-5i
2154.4346900318824                                1.0000078340739642+1.755305859613901E-5i
4641.588833612773                                 1.0000121587814814+2.1434739386983404E-5i
10000                                             1.0000155269591997+3.418761975662846E-5i
21544.346900318822                                1.0000192746020562+6.490162750436265E-5i
46415.888336127726                                1.0000281818615915+1.3307326940151164E-4i
100000                                            1.0000629983917007+2.7709481006401085E-4i
215443.46900318822                                1.000205498297365+5.458565655752592E-4i
464158.8833612772                                 1.0006445832409074+8.520484831799484E-4i
1000000                                           1.0012945390503096+8.084883926565307E-4i
2154434.6900318777                                1.0016662567323882+4.8636360613687053E-4i
4641588.833612773                                 1.001782987128358+2.4071915036337832E-4i
10000000                                          1.0018233836232546+9.974893689648221E-5i
2.154434690031878E7                               1.0018447011693887-1.0546026972785991E-5i
4.641588833612773E7                               1.0018402912551732-1.4643112356585588E-4i
100000000                                         1.0017791074106683-3.628867037975915E-4i
2.1544346900318778E8                              1.0015373588998482-6.982402599922293E-4i
4.641588833612773E8                               1.0009415115058162-9.31161077820412E-4i
1000000000                                        1.0003310511190606-7.211112369299411E-4i
2.154434690031878E9                               1.0000751018840248-3.9099038615986626E-4i
4.641588833612773E9                               1.0000082520529516-1.8832031712364891E-4i
1.0E10                                            0.9999931772558504-8.812880972972286E-5i
