% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 30 2024, 11:11
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999187263290679+1.1428625225885676E-9i
0.021544346900318832                              0.9991872632926806+2.4622166326541325E-9i
0.046415888336127774                              0.9991872633025713+5.304624616110269E-9i
0.1                                               0.9991872633480213+1.1427864334500156E-8i
0.21544346900318834                               0.9991872635591184+2.4614566849418073E-8i
0.46415888336127775                               0.9991872645347876+5.297068785259859E-8i
1                                                 0.9991872689654971+1.135425905951766E-7i
2.154434690031882                                 0.9991872877501209+2.395583569016212E-7i
4.6415888336127775                                0.9991873531179002+4.8418263610952E-7i
10                                                0.9991875323519305+9.219914853339099E-7i
21.54434690031882                                 0.9991879693149941+1.6339052307105072E-6i
46.41588833612777                                 0.9991888952188102+2.6044055338724012E-6i
100                                               0.9991904795696618+3.612983292606665E-6i
215.44346900318823                                0.9991925701510763+4.367363359775309E-6i
464.1588833612773                                 0.9991947113489887+4.9185155950993124E-6i
1000                                              0.999196515129971+5.891177961203652E-6i
2154.4346900318824                                0.9991978621537003+8.511151059956218E-6i
4641.588833612773                                 0.9991988348013154+1.5013801443064698E-5i
10000                                             0.9991997087479206+2.990730970087936E-5i
21544.346900318822                                0.9992014316844817+6.273659786258808E-5i
46415.888336127726                                0.9992080614647338+1.3372732128740962E-4i
100000                                            0.9992376597055926+2.8355839301759335E-4i
215443.46900318822                                0.9993645770371749+5.741348303611083E-4i
464158.8833612772                                 0.9997988801780575+9.702790266070968E-4i
1000000                                           1.0005971121673154+0.001042799630176304i
2154434.6900318777                                1.0011661909600156+6.462182626117922E-4i
4641588.833612773                                 1.0013514246388+2.3967827865391006E-4i
10000000                                          1.001363453210689-8.031040084156133E-5i
2.154434690031878E7                               1.0012312148895794-4.0460917256388376E-4i
4.641588833612773E7                               1.000832424396416-6.710304873016929E-4i
100000000                                         1.00032325279353-5.975064404208702E-4i
2.1544346900318778E8                              1.0000700526592112-3.4357181155046277E-4i
4.641588833612773E8                               0.9999990855403208-1.6824193206238462E-4i
1000000000                                        0.9999826710480473-7.908242032975298E-5i
2.154434690031878E9                               0.9999790522746588-3.68190066477646E-5i
4.641588833612773E9                               0.9999782626427429-1.7104590871118707E-5i
1.0E10                                            0.9999780899683591-7.941905669175569E-6i
