% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 09:06
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999500399782143+3.0142943434506623E-9i
0.021544346900318832                              0.999500399784447+6.494097735360688E-9i
0.046415888336127774                              0.9995003997948398+1.399108376905815E-8i
0.1                                               0.9995003998430239+3.014261969080011E-8i
0.21544346900318834                               0.9995004000671015+6.493774065913496E-8i
0.46415888336127775                               0.9995004011060828+1.3987850103989517E-7i
1                                                 0.999500405911241+3.0110421243505486E-7i
2.154434690031882                                 0.9995004278549253+6.462200841144349E-7i
4.6415888336127775                                0.9995005228330505+1.3697837572905785E-6i
10                                                0.9995008695357837+2.7968044758684043E-6i
21.54434690031882                                 0.9995018520952542+5.386732673544152E-6i
46.41588833612777                                 0.9995042930721976+9.707190747445317E-6i
100                                               0.9995096810456774+1.5879802775132175E-5i
215.44346900318823                                0.9995195666536801+2.267357674254183E-5i
464.1588833612773                                 0.999533897579632+2.7505993669101152E-5i
1000                                              0.9995501289184539+2.8454365906109407E-5i
2154.4346900318824                                0.9995650551023344+2.6019477482316075E-5i
4641.588833612773                                 0.9995769497239171+2.2285336599577307E-5i
10000                                             0.9995856652198324+1.9436796989632125E-5i
21544.346900318822                                0.9995917852193086+1.9567089836658218E-5i
46415.888336127726                                0.9995960790870287+2.564097574725096E-5i
100000                                            0.9995995986951612+4.348127136172904E-5i
215443.46900318822                                0.9996051230292694+8.543443644910764E-5i
464158.8833612772                                 0.9996237799491354+1.7665881210370978E-4i
1000000                                           0.9997013780407984+3.5680728576508114E-4i
2154434.6900318777                                0.9999745434691943+6.093234945629628E-4i
4641588.833612773                                 1.0005071204640623+6.461308808320138E-4i
10000000                                          1.0008919605974407+3.0353976701733823E-4i
2.154434690031878E7                               1.0009311841538744-1.223230301951139E-4i
4.641588833612773E7                               1.0006605434900455-4.5777707603951966E-4i
100000000                                         1.0002323446371024-4.8170456786288476E-4i
2.1544346900318778E8                              0.9999930733290499-2.934483106897708E-4i
4.641588833612773E8                               0.9999220769114988-1.463491383931409E-4i
1000000000                                        0.9999050869249917-6.921751905227409E-5i
2.154434690031878E9                               0.9999012600908095-3.2286758331706995E-5i
4.641588833612773E9                               0.9999004167989513-1.5006647041655903E-5i
1.0E10                                            0.9999002322419189-6.968359904726109E-6i
