% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 11:29
% Dimension:          2
% Nodes:              86
% Expressions:        3
% Description:        , , 
% Length unit:        m
% R                       Z                        U0 (V)                   Cp0 (mol/m^3)            Cn0 (mol/m^3)
1.0749234174787756E-6     0                        -4.472480539698872E-5    1.0014988721799865       0.9982293500321241
1.0825647836979419E-6     0                        -2.701727462231033E-5    1.0008206398718318       0.9989304654366171
1.0869232065975022E-6     0                        -1.800107697385962E-5    1.0004758537973613       0.9992871366527774
1.0925056839744374E-6     0                        -9.31475884295742E-6     1.0001460742882937       0.9996307857637501
1.0962759494173612E-6     0                        -5.26683668138405E-6     0.9999944138036329       0.9997909534209769
1.0668718229074952E-6     0                        -8.07920133600908E-5     1.002889655311935        0.9967983578117435
1.0669425807402416E-6     0                        -7.997841246117578E-5    1.002857433312064        0.9968302047540847
1.0669816099944158E-6     0                        -7.953340744866887E-5    1.002839811760782        0.9968476249548125
1.0588490097809558E-6     0                        -2.2300088796681165E-4   1.0085314425774754       0.9912149392097087
1.0535097452508605E-6     0                        -3.7818621407897056E-4   1.014716561566812        0.9851373485588855
1.05075443038304E-6       0                        -4.7719616650189543E-4   1.0186681737585639       0.9812626975855514
1.038117984519134E-6      0                        -0.0017821843385113752   1.0730438482967455       0.9317959238621452
1.0381179887966244E-6     0                        -0.0017821835976343993   1.0730438171742307       0.9317959514881581
1.0423301332145031E-6     0                        -0.0011582547428474598   1.0467018016002907       0.9551792292583099
1.043850420769758E-6      0                        -9.794623148612974E-4    1.0392122350305204       0.9619256905352295
1.0465422817987716E-6     0                        -7.232586956059932E-4    1.0285765770885176       0.9716681534704464
1.0495828584130543E-6     0                        -5.266693786563097E-4    1.0205992275485691       0.9792861819907784
1.0E-6                    0                        -0.19201220016725742     1887.2884470493516       4.626589550768596E-4
1.0003210165145414E-6     0                        -0.16584119569122038     690.8485701372023        0.0014627860787289463
1.0006420330290821E-6     0                        -0.14660333734487752     131.1617037089372        0.002873057209862779
1.0009630495436233E-6     0                        -0.13429862512338303     208.22784603042112       0.00469347235206157
1.0309624458151815E-6     0                        -0.0037855795485886696   1.163231057694477        0.8607921894400263
1.0333476248801361E-6     0                        -0.002954870652485417    1.1250260539322112       0.8896354684303717
1.0333476253831725E-6     0                        -0.0029548704944671405   1.1250260467333826       0.8896354739677009
1.0357328044133846E-6     0                        -0.0022870722231078584   1.0949636494555763       0.9133033806944238
1.0249994968951745E-6     0                        -0.007066997145555754    1.3282721520712184       0.7559395946918048
1.0269871461939666E-6     0                        -0.0057469429370214245   1.2594063194800627       0.7966416887854888
1.0289747958095462E-6     0                        -0.004653137044359174    1.204392619562359        0.8315925542983412
1.0200303727951355E-6     0                        -0.011906807590995256    1.6166092045974831       0.6241243775893468
1.02168674726554E-6       0                        -0.010011233343841333    1.4973468460350297       0.6729949796972302
1.023343121948416E-6      0                        -0.008397963171215349    1.4012344928503486       0.7169333856538728
1.0158894360868428E-6     0                        -0.018463908539900972    2.1107616726039393       0.481395169550424
1.0172697483405068E-6     0                        -0.015949865163859666    1.9066941741504821       0.5320625381572978
1.0186500605941707E-6     0                        -0.013764164825758065    1.7419766834537131       0.5796389413821909
1.012438655452683E-6      0                        -0.02680072810696176     2.9624994584297353       0.3459950850961076
1.0135889156640696E-6     0                        -0.02365363055153742     2.6091598096616555       0.39220652363825914
1.0147391758754561E-6     0                        -0.0208746906956685      2.3252472144317946       0.43733988512062977
1.0095630049242164E-6     0                        -0.036955321128428316    4.471671118946479        0.23134827110862088
1.010521555100372E-6      0                        -0.03315929920105416     3.839241616650668        0.26914577737339584
1.0114801052765274E-6     0                        -0.02977443486041975     3.336184396559703        0.3073613820322075
1.0071666294838276E-6     0                        -0.04904183725108453     7.282607438982955        0.14323337085681476
1.0079654212972905E-6     0                        -0.04454171379228792     6.085481548665141        0.17141073633452714
1.0087642131107534E-6     0                        -0.04051287508462921     5.148502775474575        0.20078236974855654
1.0051696499501703E-6     0                        -0.0633812957538977      12.944473559437101       0.08104570297745649
1.0058353097947228E-6     0                        -0.05803124578810041     10.473997567960637       0.10037445818094475
1.0065009696392753E-6     0                        -0.05325142628708753     8.58670886146152         0.12110368080522853
1.003505500338789E-6      0                        -0.08072531453284426     25.8323046605139         0.040645853537402236
1.0040602168759163E-6     0                        -0.0741919342991456      19.996760095640866       0.052829221271578485
