% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 11:29
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999824164042157+8.800212709189218E-10i
0.021544346900318832                              0.9998241640421165+1.895948343315379E-9i
0.046415888336127774                              0.999824164042805+4.084696778809966E-9i
0.1                                               0.9998241640438419+8.800211387604793E-9i
0.21544346900318834                               0.999824164051152+1.895947025712966E-8i
0.46415888336127775                               0.9998241640818911+4.084683592861298E-8i
1                                                 0.9998241642270972+8.800079628647325E-8i
2.154434690031882                                 0.9998241648987183+1.8958156502890205E-7i
4.6415888336127775                                0.9998241680141745+4.083387104852999E-7i
10                                                0.9998241823087484+8.787760025021338E-7i
21.54434690031882                                 0.9998242465522689+1.8849943304029922E-6i
46.41588833612777                                 0.9998245212280795+3.99399966157743E-6i
100                                               0.9998255190763229+8.156051022002274E-6i
215.44346900318823                                0.9998283314626062+1.5728047151851975E-5i
464.1588833612773                                 0.999835286046743+2.8460190060005232E-5i
1000                                              0.9998506807714604+4.704549958701815E-5i
2154.4346900318824                                0.9998794319128972+6.855544251790666E-5i
4641.588833612773                                 0.9999226990807932+8.570590051612591E-5i
10000                                             0.9999743474371439+9.150877137748721E-5i
21544.346900318822                                1.0000245234244058+8.51171898516935E-5i
46415.888336127726                                1.0000663654914097+7.104899630177701E-5i
100000                                            1.0000979980805154+5.4364067923726834E-5i
215443.46900318822                                1.0001205284432002+3.783229584254922E-5i
464158.8833612772                                 1.000135838583108+2.1577923041995262E-5i
1000000                                           1.0001452575797338+3.220258817191144E-6i
2154434.6900318777                                1.0001478520836187-2.2629348671378597E-5i
4641588.833612773                                 1.0001349782223017-6.373598577267939E-5i
10000000                                          1.000081598073348-1.1374637225649598E-4i
2.154434690031878E7                               0.9999881987901433-1.1996751263482201E-4i
4.641588833612773E7                               0.9999267934004457-7.656902684910332E-5i
100000000                                         0.999906766394241-3.9203731897429826E-5i
2.1544346900318778E8                              0.9999015098765448-1.908361970464329E-5i
4.641588833612773E8                               0.9998999657058703-9.326384057404516E-6i
1000000000                                        0.9998993310917123-4.689525491598479E-6i
2.154434690031878E9                               0.9998989236794117-2.483929105479636E-6i
4.641588833612773E9                               0.9998985875335805-1.3576340177975558E-6i
1.0E10                                            0.999898387342933-7.069072048554009E-7i
