% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 10:53
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              1.000267440366786+1.9849125491224444E-9i
0.021544346900318832                              1.0002674403684082+4.276364440622432E-9i
0.046415888336127774                              1.000267440368556+9.213147724682492E-9i
0.1                                               1.0002674403711076+1.9849123350221923E-8i
0.21544346900318834                               1.000267440385128+4.276362285584326E-8i
0.46415888336127775                               1.0002674404519596+9.213126215621489E-8i
1                                                 1.0002674407622332+1.984890833799828E-7i
2.154434690031882                                 1.0002674421882471+4.276147344907425E-7i
4.6415888336127775                                1.0002674488133172+9.210981658561E-7i
10                                                1.0002674794302697+1.9827660417669467E-6i
21.54434690031882                                 1.0002676190318387+4.2555389154689225E-6i
46.41588833612777                                 1.0002682219440715+9.023543463391244E-6i
100                                               1.0002704120519832+1.8450542529084847E-5i
215.44346900318823                                1.0002765492614911+3.569402272131446E-5i
464.1588833612773                                 1.0002916530758204+6.509517523588433E-5i
1000                                              1.000325265014294+1.0948273209987353E-4i
2154.4346900318824                                1.0003896758196091+1.648519443066915E-4i
4641.588833612773                                 1.0004920201448169+2.1681047919753862E-4i
10000                                             1.0006243606573504+2.465751909488613E-4i
21544.346900318822                                1.0007649669847911+2.446514291457872E-4i
46415.888336127726                                1.000892001589975+2.1628435656863098E-4i
100000                                            1.000994010771613+1.7382915525737336E-4i
215443.46900318822                                1.001069697817518+1.2727053451757898E-4i
464158.8833612772                                 1.0011227808095413+8.006849487790518E-5i
1000000                                           1.0011576930873411+2.832894513517913E-5i
2154434.6900318777                                1.0011760910317589-4.088398941343373E-5i
4641588.833612773                                 1.0011689571042126-1.5392221242615205E-4i
10000000                                          1.001089355689538-3.471549978455653E-4i
2.154434690031878E7                               1.0008134180017587-5.855168251225126E-4i
4.641588833612773E7                               1.0003426238676976-6.110505106202576E-4i
100000000                                         1.000030806758841-3.887482896062777E-4i
2.1544346900318778E8                              0.9999304601728978-1.9641557750504468E-4i
4.641588833612773E8                               0.9999062654524078-9.320176647344778E-5i
1000000000                                        0.9999007109031042-4.368306935949987E-5i
2.154434690031878E9                               0.999899335964725-2.0481958148105456E-5i
4.641588833612773E9                               0.9998989130267956-9.65740667813698E-6i
1.0E10                                            0.99989872279829-4.617401596499464E-6i
