% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 22 2024, 13:07
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9990029860092248+3.832724267637859E-11i
0.021544346900318832                              0.9990029860091901+8.25735416510324E-11i
0.046415888336127774                              0.9990029860091895+1.7789930289668948E-10i
0.1                                               0.9990029860091754+3.8327242946197286E-10i
0.21544346900318834                               0.9990029860092334+8.257354180305195E-10i
0.46415888336127775                               0.9990029860092021+1.778993029819413E-9i
1                                                 0.9990029860092068+3.832724295284698E-9i
2.154434690031882                                 0.9990029860092333+8.257354177543502E-9i
4.6415888336127775                                0.9990029860093387+1.7789930296522094E-8i
10                                                0.9990029860097978+3.8327242944844025E-8i
21.54434690031882                                 0.9990029860120099+8.25735417015823E-8i
46.41588833612777                                 0.9990029860221817+1.7789930198883458E-7i
100                                               0.9990029860694932+3.832724201810454E-7i
215.44346900318823                                0.9990029862890396+8.257353238638633E-7i
464.1588833612773                                 0.9990029873080924+1.778992088173682E-6i
1000                                              0.9990029920381419+3.832714880696314E-6i
2154.4346900318824                                0.9990030139927291+8.257260018380783E-6i
4641.588833612773                                 0.9990031158919018+1.7788988704069638E-5i
10000                                             0.9990035887559437+3.8317828870990154E-5i
21544.346900318822                                0.9990057812295471+8.247948440872836E-5i
46415.888336127726                                0.9990159070607275+1.7696258619476844E-4i
100000                                            0.9990618398250272+3.7408023555206656E-4i
215443.46900318822                                0.9992543638624255+7.411474524915615E-4i
464158.8833612772                                 0.9998544217917054+0.001161710679930741i
1000000                                           1.0007557012243387+0.0010945835148737028i
2154434.6900318777                                1.0012718033515033+6.147193618525308E-4i
4641588.833612773                                 1.0014166514753553+2.0569997860491016E-4i
10000000                                          1.001411205597004-1.1024604166918651E-4i
2.154434690031878E7                               1.0012628905536602-4.336320538954439E-4i
4.641588833612773E7                               1.0008464501541305-6.9275671253919E-4i
100000000                                         1.0003308558683779-6.057972771279836E-4i
2.1544346900318778E8                              1.0000792678101966-3.4575719093125044E-4i
4.641588833612773E8                               1.0000094178997505-1.6886108115329686E-4i
1000000000                                        0.9999933822356916-7.929216738277891E-5i
2.154434690031878E9                               0.9999898643222557-3.6904619216910675E-5i
4.641588833612773E9                               0.999989098869257-1.714216096384751E-5i
1.0E10                                            0.9999889321725676-7.958726832375989E-6i
