% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 22 2024, 13:26
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9997420546448503+7.205171954327885E-10i
0.021544346900318832                              0.9997420546452205+1.5523072074567637E-9i
0.046415888336127774                              0.9997420546452854+3.3443444262823543E-9i
0.1                                               0.9997420546469856+7.205171033481341E-9i
0.21544346900318834                               0.9997420546519357+1.5523064302505595E-8i
0.46415888336127775                               0.9997420546765233+3.3443367118370987E-8i
1                                                 0.9997420547904862+7.205093920767464E-8i
2.154434690031882                                 0.9997420553225274+1.5522293440817148E-7i
4.6415888336127775                                0.9997420577850396+3.3435665585646543E-7i
10                                                0.999742069175939+7.197425408192831E-7i
21.54434690031882                                 0.9997421211920489+1.544709955059853E-6i
46.41588833612777                                 0.9997423462289883+3.2745075412217806E-6i
100                                               0.999743166261023+6.687608034529709E-6i
215.44346900318823                                0.9997454804832656+1.289370197859899E-5i
464.1588833612773                                 0.9997512071822968+2.3311886235086423E-5i
1000                                              0.9997638659650834+3.8455458828282765E-5i
2154.4346900318824                                0.9997873777373484+5.583680929337739E-5i
4641.588833612773                                 0.9998223708509631+6.957389726822709E-5i
10000                                             0.9998634775695252+7.458273330233715E-5i
21544.346900318822                                0.999902676512283+7.14661465050903E-5i
46415.888336127726                                0.9999347622443832+6.597749613889907E-5i
100000                                            0.9999587678116567+6.618772711093294E-5i
215443.46900318822                                0.9999770282987703+8.286991675221376E-5i
464158.8833612772                                 0.9999973834268006+1.3402801133928643E-4i
1000000                                           1.0000485932734593+2.489824065060852E-4i
2154434.6900318777                                1.0002233963648042+4.329134265637453E-4i
4641588.833612773                                 1.0006165930700401+5.001351494142643E-4i
10000000                                          1.000958068027722+2.3395274598343526E-4i
2.154434690031878E7                               1.0009924655669173-1.6426674111543876E-4i
4.641588833612773E7                               1.0007123578185382-4.970142702169038E-4i
100000000                                         1.0002603552236626-5.219453215546412E-4i
2.1544346900318778E8                              1.0000000913153944-3.199255655190045E-4i
4.641588833612773E8                               0.99992229119513-1.594782528507766E-4i
1000000000                                        0.9999039196192865-7.540204757807125E-5i
2.154434690031878E9                               0.9998997349932427-3.527258320782248E-5i
4.641588833612773E9                               0.9998987201849059-1.648878969711351E-5i
1.0E10                                            0.9998984271465546-7.717361063795017E-6i
