% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 22 2024, 13:24
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9994778663286997+3.226861662551062E-10i
0.021544346900318832                              0.9994778663288245+6.952062671850733E-10i
0.046415888336127774                              0.9994778663289922+1.4977764712500798E-9i
0.1                                               0.9994778663297111+3.2268613141915227E-9i
0.21544346900318834                               0.9994778663323701+6.95205921141072E-9i
0.46415888336127775                               0.9994778663432736+1.4977730052148123E-8i
1                                                 0.9994778663946963+3.226826647773186E-8i
2.154434690031882                                 0.9994778666334887+6.951712609106989E-8i
4.6415888336127775                                0.9994778677449739+1.4974267384642676E-7i
10                                                0.9994778728839174+3.22337882328315E-7i
21.54434690031882                                 0.9994778963488739+6.917904029721191E-7i
46.41588833612777                                 0.9994779979049864+1.4663728949799434E-6i
100                                               0.9994783684530946+2.9939968763532756E-6i
215.44346900318823                                0.9994794173322652+5.766689433568792E-6i
464.1588833612773                                 0.9994820171545946+1.0394572674450828E-5i
1000                                              0.9994877339172396+1.7025514281365415E-5i
2154.4346900318824                                0.9994981601952652+2.4427219320471576E-5i
4641.588833612773                                 0.9995131481570817+3.0112470640727676E-5i
10000                                             0.999529941574959+3.265626840673867E-5i
21544.346900318822                                0.9995451805852579+3.3831670651438763E-5i
46415.888336127726                                0.9995571760206092+3.839745877754185E-5i
100000                                            0.99956628587807+5.413703635624687E-5i
215443.46900318822                                0.9995755425982347+9.49544481128943E-5i
464158.8833612772                                 0.9995969676141951+1.875510236271189E-4i
1000000                                           0.999678859967569+3.7328315287196164E-4i
2154434.6900318777                                0.9999636878927468+6.342880470782011E-4i
4641588.833612773                                 1.0005171300235265+6.710348881879538E-4i
10000000                                          1.000915862133507+3.132933209997895E-4i
2.154434690031878E7                               1.000952371125651-1.2783056777876587E-4i
4.641588833612773E7                               1.0006720088633787-4.688369774080741E-4i
100000000                                         1.0002353443719088-4.912678596920936E-4i
2.1544346900318778E8                              0.9999918362299843-2.9867794989342614E-4i
4.641588833612773E8                               0.9999201308445007-1.484664329918344E-4i
1000000000                                        0.9999032813368901-7.011714944139418E-5i
2.154434690031878E9                               0.9998994722526311-3.275299562264148E-5i
4.641588833612773E9                               0.9998985814658772-1.5267176262229213E-5i
1.0E10                                            0.9998983558957047-7.11160758444702E-6i
