% Model:              BrushLayer.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jun 7 2024, 15:03
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999753780222869+1.7428280299639955E-8i
0.021544346900318832                              0.9997537802568922+3.754800008633806E-8i
0.046415888336127774                              0.999753780402252+8.089379626095712E-8i
0.1                                               0.9997537810937757+1.7427123195108994E-7i
0.21544346900318834                               0.9997537842834253+3.753644161692076E-7i
0.46415888336127775                               0.9997537990297831+8.077884149501925E-7i
1                                                 0.9997538660061953+1.7315042800408392E-6i
2.154434690031882                                 0.9997541496474581+3.6532656672480615E-6i
4.6415888336127775                                0.9997551324232147+7.385390457932503E-6i
10                                                0.9997578061303705+1.4089143435322881E-5i
21.54434690031882                                 0.9997643150886714+2.513379093059559E-5i
46.41588833612777                                 0.9997783485582071+4.066362087394512E-5i
100                                               0.9998035658067831+5.7571710697121414E-5i
215.44346900318823                                0.9998397737785912+6.964956206515986E-5i
464.1588833612773                                 0.9998809979696648+7.212743519882545E-5i
1000                                              0.9999195292793621+6.56046872563578E-5i
2154.4346900318824                                0.9999508561437298+5.423998737764172E-5i
4641.588833612773                                 0.9999742526688621+4.200405263297157E-5i
10000                                             0.9999909313912256+3.113020119995344E-5i
21544.346900318822                                1.0000025360115163+2.2376553539706748E-5i
46415.888336127726                                1.0000105113263535+1.5695503706541722E-5i
100000                                            1.0000159460694582+1.0684266786840325E-5i
215443.46900318822                                1.0000196136257715+6.833796753451904E-6i
464158.8833612772                                 1.0000220263622226+3.5516266924349686E-6i
1000000                                           1.000023431815476+6.81085189045904E-8i
2154434.6900318777                                1.0000235970028917-4.766210392239556E-6i
4641588.833612773                                 1.0000207118292639-1.2380814673348227E-5i
10000000                                          1.0000101222579338-2.088765264664988E-5i
2.154434690031878E7                               0.9999936280579352-2.0563313363959628E-5i
4.641588833612773E7                               0.9999838558233536-1.2684184508649098E-5i
100000000                                         0.9999807383885397-6.527570712634694E-6i
2.1544346900318778E8                              0.9999798561613309-3.2693939577501828E-6i
4.641588833612773E8                               0.9999795526580889-1.7266540690745536E-6i
1000000000                                        0.9999793623947603-1.081415494978609E-6i
2.154434690031878E9                               0.9999790809153726-8.874201718440064E-7i
4.641588833612773E9                               0.9999786516543478-7.323687087526667E-7i
1.0E10                                            0.9999783498098365-4.5037967143810515E-7i
