% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 8 2024, 11:17
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9998177053483916+8.59751138762486E-10i
0.021544346900318832                              0.9998177053485442+1.8522776705532146E-9i
0.046415888336127774                              0.9998177053487668+3.990611192561487E-9i
0.1                                               0.9998177053501687+8.59751042674227E-9i
0.21544346900318834                               0.9998177053565009+1.852276709440668E-8i
0.46415888336127775                               0.9998177053861478+3.990601583931708E-8i
1                                                 0.9998177055234782+8.597414345887301E-8i
2.154434690031882                                 0.9998177061606376+1.8521806605175566E-7i
4.6415888336127775                                0.9998177091153233+3.989642564251331E-7i
10                                                0.9998177227722381+8.587890032959095E-7i
21.54434690031882                                 0.9998177850076521+1.8429234765305058E-6i
46.41588833612777                                 0.9998180533378926+3.9059512188194496E-6i
100                                               0.9998190289818677+7.976875929794671E-6i
215.44346900318823                                0.9998217792577387+1.5383641761578617E-5i
464.1588833612773                                 0.9998285826152213+2.7838633996943246E-5i
1000                                              0.9998436470236475+4.6016583633354815E-5i
2154.4346900318824                                0.9998717825929304+6.704001999765064E-5i
4641.588833612773                                 0.9999141071806736+8.376560069594727E-5i
10000                                             0.9999645881427456+8.936058858100377E-5i
21544.346900318822                                1.0000135810235546+8.30232334157457E-5i
46415.888336127726                                1.0000544073376374+6.916845866870519E-5i
100000                                            1.000085258899161+5.267770521757203E-5i
215443.46900318822                                1.0001072171950502+3.613163595689623E-5i
464158.8833612772                                 1.000122109058431+1.9395440021654397E-5i
1000000                                           1.0001311362472138-3.920732660201964E-7i
2154434.6900318777                                1.0001329712331497-2.9600231212328608E-5i
4641588.833612773                                 1.0001173096665292-7.76214211322894E-5i
10000000                                          1.0000539990390718-1.379578888237608E-4i
2.154434690031878E7                               0.9999406135848895-1.4773178310764935E-4i
4.641588833612773E7                               0.9998639600620963-9.584828836884697E-5i
100000000                                         0.9998383333361667-5.066170508517311E-5i
2.1544346900318778E8                              0.9998301802207962-2.710561298607647E-5i
4.641588833612773E8                               0.9998254054016722-1.5123278719178087E-5i
1000000000                                        0.9998228040239094-7.842231832832083E-6i
2.154434690031878E9                               0.9998219598347835-3.785965182539408E-6i
4.641588833612773E9                               0.9998217428468903-1.7821987922233064E-6i
1.0E10                                            0.9998216889563185-8.327633066751768E-7i
