% Model:              BrushLayer.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jun 7 2024, 14:40
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9990296747879823+6.06928011496559E-12i
0.021544346900318832                              0.9990296747879248+1.3075857739820555E-11i
0.046415888336127774                              0.999029674788025+2.8170983359679446E-11i
0.1                                               0.9990296747882375+6.069156078232905E-11i
0.21544346900318834                               0.9990296747891556+1.3074617241333773E-10i
0.46415888336127775                               0.9990296747935075+2.815858092268667E-10i
1                                                 0.9990296748134303+6.056777094409864E-10i
2.154434690031882                                 0.9990296749047365+1.295191959646803E-9i
4.6415888336127775                                0.9990296753089611+2.6979928484477275E-9i
10                                                0.9990296768353535+5.060632307644166E-9i
21.54434690031882                                 0.9990296803411416+7.181664083475834E-9i
46.41588833612777                                 0.9990296835879284+8.04880994467214E-9i
100                                               0.999029684857628+1.1093164022054145E-8i
215.44346900318823                                0.9990296851847004+2.0472702530111022E-8i
464.1588833612773                                 0.999029685267017+4.244689716666629E-8i
1000                                              0.9990296853049541+9.065831399319478E-8i
2154.4346900318824                                0.9990296853658509+1.9492592947911883E-7i
4641.588833612773                                 0.9990296855549715+4.197374067489701E-7i
10000                                             0.9990296863204391+9.041531789255252E-7i
21544.346900318822                                0.9990296897554969+1.9478274658269466E-6i
46415.888336127726                                0.9990297055994246+4.1963148133337685E-6i
100000                                            0.9990297790587964+9.039872702755348E-6i
215443.46900318822                                0.9990301198172833+1.9468187842091027E-5i
464158.8833612772                                 0.9990316979870645+4.186716992946142E-5i
1000000                                           0.9990389493510162+8.945022381056961E-5i
2154434.6900318777                                0.9990710906471569+1.8555357102609908E-4i
4641588.833612773                                 0.9991936460348688+3.409179017020523E-4i
10000000                                          0.9994819532110227+4.359013497210191E-4i
2.154434690031878E7                               0.9997565824254144+3.2433352011401045E-4i
4.641588833612773E7                               0.9998650000963363+1.725626123361779E-4i
100000000                                         0.9998924378206057+8.259777037505388E-5i
2.1544346900318778E8                              0.9998985219744273+3.85740489736128E-5i
4.641588833612773E8                               0.9998998282654239+1.7921688977991256E-5i
1000000000                                        0.9999001058411756+8.318305581682689E-6i
2.154434690031878E9                               0.9999001643637773+3.860403633496043E-6i
4.641588833612773E9                               0.9999001765717942+1.7915951112448796E-6i
1.0E10                                            0.999900179076643+8.315023149223633E-7i
