% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 8 2024, 10:09
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9993617876611863+6.872834197212634E-10i
0.021544346900318832                              0.9993617876614977+1.4807071408307156E-9i
0.046415888336127774                              0.9993617876624321+3.1900858209929274E-9i
0.1                                               0.9993617876670594+6.872821476273476E-9i
0.21544346900318834                               0.9993617876881579+1.4806944199196702E-8i
0.46415888336127775                               0.9993617877864525+3.18995863110031E-8i
1                                                 0.9993617882419262+6.871550581629316E-8i
2.154434690031882                                 0.9993617903495232+1.4794281400125213E-7i
4.6415888336127775                                0.9993618000034662+3.177504597415067E-7i
10                                                0.9993618423094306+6.75565354059653E-7i
21.54434690031882                                 0.9993620023350851+1.3900725268468327E-6i
46.41588833612777                                 0.9993624718216733+2.7016363167498687E-6i
100                                               0.9993636566658048+4.92400996358828E-6i
215.44346900318823                                0.9993663371062473+8.185018276467034E-6i
464.1588833612773                                 0.9993714120012064+1.190641803596296E-5i
1000                                              0.9993789985297269+1.4686300288818445E-5i
2154.4346900318824                                0.9993877914064878+1.5337012006633632E-5i
4641.588833612773                                 0.9993959784625904+1.399435360006702E-5i
10000                                             0.9994025332829247+1.1721118469574874E-5i
21544.346900318822                                0.9994073442541362+9.576604787134906E-6i
46415.888336127726                                0.9994107215060217+8.353308163989777E-6i
100000                                            0.9994130540115342+8.87384830620588E-6i
215443.46900318822                                0.9994147344396512+1.2580549595119841E-5i
464158.8833612772                                 0.9994163994491856+2.253645416959596E-5i
1000000                                           0.999420113128744+4.522717934092906E-5i
2154434.6900318777                                0.9994344024767151+9.278109879317357E-5i
4641588.833612773                                 0.9994901515048313+1.7542960306466226E-4i
10000000                                          0.999637683339852+2.4400706009138006E-4i
2.154434690031878E7                               0.9998052785863291+1.981785410931615E-4i
4.641588833612773E7                               0.999880275749309+1.083243485589377E-4i
100000000                                         0.9998990423482658+5.0418775158086215E-5i
2.1544346900318778E8                              0.9999013605087788+2.190071569018985E-5i
4.641588833612773E8                               0.9999007149179577+9.557164613621576E-6i
1000000000                                        0.9999003373596252+4.316232989215304E-6i
2.154434690031878E9                               0.999900223543004+1.9814333945191673E-6i
4.641588833612773E9                               0.9999001921646358+9.145497464466142E-7i
1.0E10                                            0.9999001833612122+4.2302890488020905E-7i
