% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 30 2024, 11:10
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9991872632937895+1.142880161510226E-9i
0.021544346900318832                              0.9991872632961945+2.4622536108706204E-9i
0.046415888336127774                              0.9991872633067533+5.3046939937062005E-9i
0.1                                               0.9991872633567709+1.1427911126836765E-8i
0.21544346900318834                               0.9991872635885714+2.4613643002806733E-8i
0.46415888336127775                               0.999187264659226+5.2958562370919365E-8i
1                                                 0.9991872695096592+1.1342000343102114E-7i
2.154434690031882                                 0.9991872898758002+2.385119323933178E-7i
4.6415888336127775                                0.9991873588664382+4.780892685321571E-7i
10                                                0.9991875415604063+9.012604618924559E-7i
21.54434690031882                                 0.9991879804686514+1.5826642898212042E-6i
46.41588833612777                                 0.9991889088391923+2.489385684642323E-6i
100                                               0.9991904989882106+3.3593120912558765E-6i
215.44346900318823                                0.9991926020480474+3.8082074725152093E-6i
464.1588833612773                                 0.9991947656170234+3.6871873415255862E-6i
1000                                              0.9991966035017007+3.189913914430563E-6i
2154.4346900318824                                0.9991979924037445+2.612778561761369E-6i
4641.588833612773                                 0.9991989808334145+2.186677808346772E-6i
10000                                             0.9991996651580856+2.1008001753794692E-6i
21544.346900318822                                0.9992001339877854+2.623972819111082E-6i
46415.888336127726                                0.999200461163037+4.3039696573360385E-6i
100000                                            0.9992007313150663+8.334697778161007E-6i
215443.46900318822                                0.9992011556020356+1.7313264122166926E-5i
464158.8833612772                                 0.9992025878932923+3.681717480783997E-5i
1000000                                           0.9992088541410508+7.842643287053386E-5i
2154434.6900318777                                0.9992365123112827+1.6276971286934315E-4i
4641588.833612773                                 0.9993426007094741+3.0062445362902403E-4i
10000000                                          0.9995967456482507+3.8965779157234057E-4i
2.154434690031878E7                               0.9998457918312136+2.942959944060725E-4i
4.641588833612773E7                               0.9999465237839904+1.5753819758097842E-4i
100000000                                         0.9999721769177157+7.520404757202699E-5i
2.1544346900318778E8                              0.9999775596579132+3.464662183031422E-5i
4.641588833612773E8                               0.9999782564073313+1.5707377566436155E-5i
1000000000                                        0.9999781518345239+7.154540777494045E-6i
2.154434690031878E9                               0.9999780770343871+3.292648053562332E-6i
4.641588833612773E9                               0.9999780521329626+1.5221653240939463E-6i
1.0E10                                            0.9999780444582764+7.048639997958865E-7i
