% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 15:34
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9998559200475001+9.443521014268148E-10i
0.021544346900318832                              0.9998559200469832+2.0345449147164482E-9i
0.046415888336127774                              0.9998559200477448+4.3832940367882064E-9i
0.1                                               0.9998559200493732+9.443519655442109E-9i
0.21544346900318834                               0.9998559200556949+2.034543557629165E-8i
0.46415888336127775                               0.9998559200901356+4.3832804784363133E-8i
1                                                 0.9998559202447415+9.443384138587836E-8i
2.154434690031882                                 0.9998559209621354+2.0344084031242697E-7i
4.6415888336127775                                0.9998559242809125+4.381944894369776E-7i
10                                                0.9998559395316609+9.430628490217258E-7i
21.54434690031882                                 0.9998560082236557+2.023059740978384E-6i
46.41588833612777                                 0.9998563023900199+4.286923328373295E-6i
100                                               0.9998573712447708+8.755155437414566E-6i
215.44346900318823                                0.9998603826686472+1.6887326499622524E-5i
464.1588833612773                                 0.9998678273565907+3.0575273156016115E-5i
1000                                              0.9998843150533636+5.060519451328896E-5i
2154.4346900318824                                0.999915168722313+7.391555522162189E-5i
4641.588833612773                                 0.9999617851885853+9.273295308931479E-5i
10000                                             1.0000177436519935+9.942654319882661E-5i
21544.346900318822                                1.0000724317152871+9.28489861480962E-5i
46415.888336127726                                1.0001182691160682+7.773107707219176E-5i
100000                                            1.000153051029506+5.953689217304929E-5i
215443.46900318822                                1.000177886050828+4.128449289661864E-5i
464158.8833612772                                 1.0001947863005922+2.3038056976304227E-5i
1000000                                           1.0002051627951476+1.9535656690098375E-6i
2154434.6900318777                                1.0002078254214815-2.8428286563116857E-5i
4641588.833612773                                 1.0001925242323475-7.768874059026864E-5i
10000000                                          1.0001287636914935-1.3957498972822077E-4i
2.154434690031878E7                               1.0000133169897718-1.5030256855996986E-4i
4.641588833612773E7                               0.9999346099888679-9.717772423719055E-5i
100000000                                         0.9999086103838791-4.9791848924741537E-5i
2.1544346900318778E8                              0.9999019105235044-2.4102628528262996E-5i
4.641588833612773E8                               0.9999000536744023-1.1655827487569913E-5i
1000000000                                        0.9998993617107669-5.755753248977153E-6i
2.154434690031878E9                               0.999898963146696-2.9676171452726544E-6i
4.641588833612773E9                               0.9998986353455331-1.5998114783281726E-6i
1.0E10                                            0.9998984107699738-8.398021548210757E-7i
