% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 10:40
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9998501020613357+9.281799233852751E-10i
0.021544346900318832                              0.9998501020613966+1.999703015409052E-9i
0.046415888336127774                              0.9998501020617397+4.3082294458223904E-9i
0.1                                               0.9998501020631995+9.281797964111348E-9i
0.21544346900318834                               0.9998501020702663+1.999701746117692E-8i
0.46415888336127775                               0.9998501021028028+4.3082167536123864E-8i
1                                                 0.9998501022537599+9.281671106864867E-8i
2.154434690031882                                 0.9998501029541265+1.999575178005393E-7i
4.6415888336127775                                0.9998501061978368+4.306963861952509E-7i
10                                                0.9998501211209148+9.26962506573851E-7i
21.54434690031882                                 0.9998501884997884+1.9886876032305473E-6i
46.41588833612777                                 0.999850477532382+4.214396851411894E-6i
100                                               0.9998515281951048+8.607411702533506E-6i
215.44346900318823                                0.9998544890002603+1.660294108358104E-5i
464.1588833612773                                 0.9998618102186703+3.006048266997827E-5i
1000                                              0.9998780266272895+4.974873134420888E-5i
2154.4346900318824                                0.999908369517106+7.264529734138806E-5i
4641.588833612773                                 0.9999541926237421+9.109493793754323E-5i
10000                                             1.000009153327701+9.76078178849953E-5i
21544.346900318822                                1.0000628136102203+9.10934184641067E-5i
46415.888336127726                                1.0001077490176806+7.622973131764153E-5i
100000                                            1.0001418225929928+5.839394224794609E-5i
215443.46900318822                                1.000166139419811+4.055923713402631E-5i
464158.8833612772                                 1.000182682113161+2.2824201273378078E-5i
1000000                                           1.0001928487952825+2.491011831067495E-6i
2154434.6900318777                                1.000195537073615-2.6572879038058654E-5i
4641588.833612773                                 1.000180993613883-7.339381601863627E-5i
10000000                                          1.0001203996124222-1.316741921146728E-4i
2.154434690031878E7                               1.0000117514874314-1.4103096431687852E-4i
4.641588833612773E7                               0.9999384459853258-9.10746109744031E-5i
100000000                                         0.9999142421538645-4.719655980724579E-5i
2.1544346900318778E8                              0.9999076359854594-2.3956669289203783E-5i
4.641588833612773E8                               0.9999047421124037-1.3200910840171476E-5i
1000000000                                        0.9999022550910436-7.620345810868802E-6i
2.154434690031878E9                               0.9999008208124293-4.005195906499982E-6i
4.641588833612773E9                               0.9999003493633267-1.945781654349866E-6i
1.0E10                                            0.9999002249076648-9.193089298281519E-7i
