% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 09:59
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              1.0002429438351692+1.9030263737290753E-9i
0.021544346900318832                              1.0002429438353342+4.099946019168921E-9i
0.046415888336127774                              1.0002429438359204+8.833065769057794E-9i
0.1                                               1.0002429438389517+1.9030261690611075E-8i
0.21544346900318834                               1.0002429438526164+4.099943973314921E-8i
0.46415888336127775                               1.0002429439161094+8.83304530836421E-8i
1                                                 1.0002429442112353+1.903005709915415E-7i
2.154434690031882                                 1.0002429455805322+4.0997394685655416E-7i
4.6415888336127775                                1.0002429519302969+8.83100420143725E-7i
10                                                1.000242981282838+1.9009809064683163E-6i
21.54434690031882                                 1.0002431151586044+4.080048428923827E-6i
46.41588833612777                                 1.0002436935250467+8.651504154249336E-6i
100                                               1.000245794987272+1.7689811552771948E-5i
215.44346900318823                                1.0002516868874562+3.422056304786946E-5i
464.1588833612773                                 1.000266195440806+6.239287442584805E-5i
1000                                              1.0002984876760899+1.0486492831667241E-4i
2154.4346900318824                                1.0003603169379545+1.5766293902833928E-4i
4641.588833612773                                 1.000458322688506+2.0683199475861694E-4i
10000                                             1.0005845439547605+2.344278892364121E-4i
21544.346900318822                                1.0007179912308706+2.317265159596573E-4i
46415.888336127726                                1.0008379901715696+2.0410700642076532E-4i
100000                                            1.0009339903319345+1.6342807635356328E-4i
215443.46900318822                                1.0010050352610071+1.190046709714883E-4i
464158.8833612772                                 1.0010547648167207+7.378896051820402E-5i
1000000                                           1.0010873266189986+2.3578488977442636E-5i
2154434.6900318777                                1.0011038880198022-4.476421188538098E-5i
4641588.833612773                                 1.0010941878599737-1.5753845766722167E-4i
10000000                                          1.001007907934942-3.482981879112428E-4i
2.154434690031878E7                               1.000723504839243-5.667787850547952E-4i
4.641588833612773E7                               1.0002800007281827-5.586616967677857E-4i
100000000                                         1.0000125246768607-3.4278411939266085E-4i
2.1544346900318778E8                              0.99993045096856-1.7149878974365168E-4i
4.641588833612773E8                               0.9999108047387806-8.171053013513219E-5i
1000000000                                        0.9999059497480506-3.928730816675851E-5i
2.154434690031878E9                               0.9999037848221307-1.987773843710249E-5i
4.641588833612773E9                               0.9999018091889916-1.0425971126394748E-5i
1.0E10                                            0.9999006653107317-5.203928860910512E-6i
